id_estudiante,genero,estructura_familiar,num_hermanos,nivel_socioeconomico,nivel_educativo_padres,trabaja_estudiante,horas_trabajo_semanal,acceso_internet_hogar,distancia_colegio_km,nivel_autoestima,nivel_ansiedad,nivel_motivacion_escolar,apoyo_familiar_percibido,eventos_estresantes_recientes,relacion_con_companeros,horas_sueño_diarias,consumo_sustancias,participa_actividades_extracurriculares,atencion_psicologica_previa
1912,Masculino,Un solo padre,2,Bajo,Superior,0,,1,3.63,2.0,5,3,3,1,Regular,7.9,0,0,0
2343,Femenino,Un solo padre,0,Medio-bajo,Superior,0,,1,1.28,4.0,2,2,4,1,Buena,7.2,0,0,1
3901,Femenino,Ambos padres,0,Medio,Primaria,1,17.8,1,0.8,5.0,1,3,5,0,Regular,6.2,0,1,0
3763,Masculino,Tutor,2,Medio,Sin estudios,1,10.5,1,0.1,3.0,2,2,3,1,Regular,7.8,1,0,0
3256,Masculino,Un solo padre,1,Medio-bajo,Sin estudios,0,,1,3.91,3.0,3,3,5,0,Buena,6.1,0,0,0
1555,Masculino,Ambos padres,2,Medio,Secundaria,0,,1,0.1,,4,2,5,1,Buena,7.4,0,1,1
2734,Femenino,Ambos padres,3,Medio,Primaria,0,,1,0.1,1.0,3,3,3,0,Buena,7.6,0,1,0
3112,Femenino,Un solo padre,1,Alto,Superior,1,10.6,0,1.25,5.0,2,5,3,0,Buena,8.0,0,1,0
2498,Femenino,Un solo padre,0,Medio-bajo,Secundaria,0,,1,5.14,2.0,5,3,5,1,Regular,5.3,0,0,1
1928,Masculino,Otros familiares,0,Bajo,Superior,0,,0,1.46,3.0,4,3,1,1,Regular,7.7,0,1,0
1614,Masculino,Un solo padre,1,Medio-bajo,Secundaria,0,,1,0.61,3.0,4,1,1,1,Conflictiva,6.1,0,1,0
1747,Femenino,Ambos padres,2,Alto,Secundaria,0,,1,0.68,4.0,3,3,2,0,Buena,7.5,0,0,0
2926,Masculino,Ambos padres,3,Medio,Primaria,0,,1,8.57,3.0,3,4,2,0,Regular,7.1,0,0,0
1307,Masculino,Ambos padres,2,Medio,Secundaria,0,,1,3.87,3.0,3,5,3,0,Buena,7.0,0,1,0
2876,Femenino,Ambos padres,0,Medio-bajo,Secundaria,0,,1,1.19,3.0,3,3,3,0,Regular,5.3,0,0,0
3550,Femenino,Ambos padres,1,Medio,Primaria,0,,1,1.74,3.0,1,3,3,1,Regular,7.8,0,1,0
2329,Masculino,Ambos padres,1,Medio-bajo,Primaria,1,20.9,1,0.83,2.0,1,4,2,1,Conflictiva,8.1,0,0,0
1407,Femenino,Ambos padres,0,Medio,Primaria,0,,1,2.12,4.0,2,3,4,1,Regular,8.0,0,1,0
3805,Femenino,Ambos padres,0,Medio,Sin estudios,0,,0,1.5,3.0,5,2,5,1,Buena,8.0,0,0,0
1120,Masculino,Un solo padre,3,Medio,Primaria,0,,1,4.07,4.0,3,4,4,0,Regular,6.2,1,0,0
3272,Femenino,Un solo padre,3,Medio-bajo,Primaria,0,,1,3.96,2.0,2,2,5,0,Regular,8.2,0,1,0
1117,Masculino,Otros familiares,5,Bajo,Sin estudios,1,33.5,0,0.5,3.0,4,2,3,0,Regular,5.4,1,1,1
3785,Masculino,Otros familiares,7,Alto,Superior,0,,1,0.1,4.0,1,4,2,1,Buena,6.5,0,1,0
2868,Femenino,Tutor,3,Medio,Primaria,0,,0,0.69,1.0,2,5,4,0,Buena,8.1,0,1,0
2640,Femenino,Ambos padres,3,Medio,Secundaria,1,15.3,1,4.93,3.0,4,2,4,0,Buena,6.5,0,0,0
1684,Femenino,Ambos padres,5,Medio-bajo,Secundaria,1,21.3,1,15.88,2.0,4,3,4,1,Conflictiva,5.2,1,0,1
3008,Masculino,Ambos padres,0,Alto,Primaria,0,,1,,3.0,4,4,4,1,Buena,8.4,0,0,0
3438,Femenino,Ambos padres,0,Medio-bajo,Primaria,0,,0,9.23,2.0,4,3,3,0,Conflictiva,6.0,0,0,0
1153,Masculino,Tutor,1,Medio-bajo,Secundaria,0,,1,0.77,3.0,4,3,5,0,Buena,5.5,0,0,0
2431,Femenino,Un solo padre,1,Medio-bajo,Superior,0,,1,0.75,2.0,3,2,4,1,Regular,5.8,0,1,1
2176,Masculino,Ambos padres,4,Bajo,Secundaria,1,19.0,0,3.57,2.0,3,4,3,0,Regular,4.6,0,1,0
2037,Femenino,Otros familiares,1,Medio,Secundaria,0,,1,1.66,3.0,3,4,3,1,Regular,7.8,0,0,0
2023,Femenino,Un solo padre,0,Medio,,0,,1,0.57,3.0,2,2,3,1,Buena,5.6,0,1,0
2403,Femenino,Un solo padre,2,Medio-bajo,Secundaria,0,,0,11.47,3.0,3,2,2,0,Regular,4.4,0,0,1
2292,Masculino,Ambos padres,0,Medio-bajo,Primaria,0,,1,2.08,4.0,4,4,1,0,Buena,7.7,0,0,0
1155,Femenino,Ambos padres,1,Medio,Primaria,0,,1,0.27,4.0,1,3,5,0,Buena,6.7,0,0,0
1455,Femenino,Otros familiares,1,Alto,Primaria,0,,1,0.1,3.0,2,3,5,0,Regular,8.1,1,1,0
1916,Femenino,Ambos padres,3,Bajo,Primaria,1,27.5,0,7.33,1.0,4,2,2,1,Conflictiva,6.6,1,0,0
2796,Femenino,Un solo padre,3,Alto,Superior,0,,1,0.43,2.0,2,5,3,0,Buena,5.7,0,1,1
1905,Otro,Un solo padre,7,Bajo,Secundaria,0,,0,1.89,3.0,3,2,2,1,Regular,6.3,0,1,0
2086,Femenino,Ambos padres,0,Medio-bajo,Sin estudios,0,,0,2.24,3.0,2,4,1,0,Regular,8.0,0,1,1
2718,Femenino,Ambos padres,1,Medio-bajo,Secundaria,1,12.9,1,8.11,2.0,4,4,2,0,Conflictiva,7.9,0,0,0
3597,Femenino,Ambos padres,2,Alto,Superior,0,,1,3.6,4.0,2,5,4,0,Buena,7.7,1,1,1
3575,Masculino,Un solo padre,1,Medio-bajo,Superior,0,,1,4.11,2.0,4,2,4,0,Buena,6.7,0,0,0
1263,Femenino,Un solo padre,0,Medio-bajo,Superior,0,,0,1.5,3.0,3,3,2,0,Regular,8.2,0,0,1
2320,Masculino,Un solo padre,0,Bajo,Primaria,0,,0,1.96,1.0,4,2,4,1,Conflictiva,5.9,0,0,0
2017,Femenino,Ambos padres,2,Medio-bajo,Primaria,1,22.0,0,0.44,4.0,3,2,2,0,Regular,8.1,0,0,0
2231,Masculino,Tutor,3,Medio,Superior,1,15.2,1,7.71,,2,4,4,0,Regular,5.7,0,1,0
1800,Femenino,Ambos padres,1,Medio-bajo,Superior,1,20.5,0,0.1,3.0,5,2,4,0,Conflictiva,6.6,0,0,0
1265,Masculino,Tutor,1,Bajo,Superior,0,,0,4.8,3.0,4,2,1,1,Regular,5.0,0,0,0
2369,Masculino,Otros familiares,1,Medio,Secundaria,0,,1,1.23,4.0,2,2,3,0,,6.5,0,0,0
3130,Femenino,Un solo padre,2,Medio,,0,,1,1.47,4.0,1,3,4,0,Buena,5.9,0,1,0
3398,Otro,Ambos padres,2,Medio,Secundaria,0,,1,0.15,3.0,3,2,3,0,Buena,6.4,0,0,1
3624,Femenino,Ambos padres,2,Medio-bajo,Superior,0,,0,1.35,1.0,4,1,4,1,Regular,7.6,0,0,0
3832,Masculino,Ambos padres,0,Medio-bajo,Secundaria,1,26.0,1,1.36,4.0,4,2,2,0,Buena,6.2,0,0,0
3684,Femenino,Ambos padres,2,Medio,Secundaria,1,5.8,0,5.47,,3,3,4,0,Conflictiva,8.1,0,0,0
2830,Femenino,Un solo padre,2,Medio-bajo,Secundaria,0,,1,3.63,3.0,5,3,3,0,Regular,7.1,0,0,0
3503,Masculino,Ambos padres,2,Bajo,Superior,0,,1,0.8,2.0,3,1,3,1,Conflictiva,6.4,0,0,0
3384,Femenino,Un solo padre,2,Medio-bajo,Secundaria,0,,1,0.38,4.0,5,4,2,1,Regular,8.1,0,0,0
2361,Femenino,Ambos padres,0,Medio-bajo,Primaria,0,,0,3.42,3.0,2,2,4,1,Regular,6.1,0,0,0
2767,Femenino,Ambos padres,3,Bajo,Superior,0,,0,0.57,2.0,4,2,4,1,Conflictiva,6.8,0,0,1
3957,Masculino,Otros familiares,0,Medio,Sin estudios,0,,1,4.18,4.0,2,5,4,0,Buena,8.4,0,1,0
2618,Femenino,Un solo padre,3,Medio-bajo,Secundaria,0,,1,0.55,3.0,4,4,4,0,Regular,6.3,0,0,0
1142,Masculino,Otros familiares,1,Bajo,Secundaria,0,,0,0.44,3.0,4,2,1,0,,6.0,0,0,1
2365,Masculino,Ambos padres,1,Medio-bajo,Primaria,0,,1,0.99,3.0,4,3,3,1,Regular,5.5,0,0,0
1920,Masculino,Ambos padres,0,Medio-bajo,Secundaria,0,,1,0.64,4.0,3,4,3,0,Buena,8.0,0,1,1
1910,Femenino,Un solo padre,2,Medio,Secundaria,0,,0,6.45,3.0,4,3,2,1,Regular,6.5,0,1,0
2140,Femenino,Ambos padres,4,Medio,Superior,1,24.8,0,2.38,3.0,3,4,3,0,Buena,6.7,0,0,1
1731,Masculino,Otros familiares,0,Alto,Secundaria,0,,1,0.1,3.0,2,3,3,0,Buena,7.9,0,0,1
3588,Femenino,Otros familiares,0,Medio,Secundaria,0,,1,4.12,4.0,3,4,4,0,Buena,8.2,0,0,0
2752,Femenino,Ambos padres,0,Alto,Secundaria,0,,1,0.53,4.0,1,2,5,0,Buena,6.8,0,0,0
3097,Femenino,Un solo padre,3,Medio,Secundaria,0,,1,0.57,4.0,2,5,4,0,Regular,8.2,0,0,0
1069,Femenino,Un solo padre,2,Medio-bajo,Primaria,0,,0,0.99,4.0,3,3,4,1,Buena,7.4,0,0,1
2002,Masculino,Ambos padres,2,Bajo,Superior,0,,0,2.9,2.0,5,2,4,1,Conflictiva,5.4,0,0,0
1327,Femenino,Ambos padres,3,Bajo,Primaria,0,,0,1.36,2.0,4,1,2,1,Regular,5.5,0,1,0
1960,Femenino,Un solo padre,5,Medio,Secundaria,0,,1,0.12,4.0,3,3,2,1,Regular,8.2,0,0,0
2158,Femenino,Ambos padres,0,Medio,Superior,0,,0,0.8,4.0,4,2,4,0,Regular,6.3,0,0,1
1934,Femenino,Un solo padre,2,Medio-bajo,Superior,1,22.9,0,2.45,4.0,4,3,2,1,Conflictiva,5.3,0,1,1
1402,Femenino,Ambos padres,3,Bajo,Sin estudios,0,,0,0.37,1.0,2,1,1,0,Conflictiva,5.1,0,1,1
1517,Femenino,Un solo padre,0,Alto,Secundaria,0,,1,0.2,4.0,2,3,4,0,Buena,6.8,0,0,0
3141,Femenino,Otros familiares,0,Medio-bajo,Superior,0,,1,2.04,2.0,2,3,2,0,Conflictiva,5.8,0,0,1
3914,Masculino,Un solo padre,2,Medio-bajo,Superior,1,27.1,1,3.0,2.0,4,2,4,1,Regular,6.1,0,0,1
2108,Femenino,Un solo padre,2,,Superior,0,,1,,2.0,2,4,3,1,Buena,7.0,0,0,0
3012,Femenino,Otros familiares,2,Medio,Superior,0,,1,6.31,3.0,2,4,4,1,Buena,8.9,0,0,0
2710,Femenino,Ambos padres,2,Medio-bajo,Secundaria,0,,0,1.92,4.0,4,3,5,1,Regular,8.1,0,1,1
2856,Masculino,Ambos padres,1,Bajo,Superior,0,,1,1.42,2.0,4,2,3,1,Conflictiva,6.8,0,0,0
3254,Femenino,Un solo padre,2,Medio-bajo,Superior,1,21.1,1,0.1,3.0,3,2,3,0,Regular,6.0,0,0,0
1403,Masculino,Un solo padre,1,Medio,Secundaria,1,10.6,1,2.88,3.0,3,2,3,1,Regular,6.4,0,0,1
3918,Otro,Ambos padres,1,Medio-bajo,Superior,0,,0,0.21,1.0,3,1,3,1,Regular,7.3,0,0,0
1620,Masculino,Ambos padres,1,Medio,Secundaria,0,,1,15.04,5.0,3,3,2,0,Regular,9.2,0,0,1
3296,Femenino,Ambos padres,0,Medio,Secundaria,0,,0,0.41,4.0,3,3,5,0,Regular,7.0,1,1,0
2393,Masculino,Un solo padre,4,Medio,Primaria,0,,0,0.43,4.0,3,3,4,0,Buena,5.8,0,0,0
2653,Masculino,Un solo padre,4,Medio,Sin estudios,0,,1,1.22,4.0,3,2,3,0,Buena,6.7,0,0,0
2164,Masculino,Ambos padres,3,Medio,Superior,0,,1,2.09,2.0,2,4,4,0,,8.1,0,1,0
3366,Femenino,Un solo padre,2,Medio-bajo,,0,,0,55.56,4.0,4,2,2,0,Regular,4.7,0,0,0
1123,Masculino,Ambos padres,1,Medio,Secundaria,0,,1,,3.0,3,3,5,0,Buena,11.2,0,0,0
3373,Otro,Ambos padres,1,Medio-bajo,Superior,0,,0,,2.0,3,2,3,0,Buena,6.0,1,1,0
2387,Femenino,Otros familiares,2,Bajo,Primaria,1,19.3,0,0.83,1.0,5,1,2,0,Conflictiva,6.1,0,0,1
3602,Masculino,Otros familiares,0,Bajo,Secundaria,1,17.3,0,16.25,,4,2,3,1,,6.7,0,0,0
3086,Femenino,Tutor,2,Alto,Primaria,0,,1,0.66,5.0,2,5,4,0,Regular,6.8,0,0,0
1958,Masculino,Ambos padres,2,Medio-bajo,Superior,1,14.2,1,7.45,3.0,3,5,4,1,Regular,7.7,0,0,0
3687,Femenino,Otros familiares,1,Alto,Sin estudios,1,24.2,1,3.81,4.0,3,3,3,0,Buena,6.5,0,1,1
1152,Masculino,Un solo padre,1,Medio-bajo,Superior,1,24.5,1,2.31,2.0,4,3,3,0,Conflictiva,5.3,0,0,0
2265,Masculino,Tutor,1,Medio,Superior,1,22.7,1,1.89,,1,3,4,0,Regular,6.6,0,0,1
3794,Femenino,Ambos padres,1,Medio-bajo,Sin estudios,0,,1,0.1,2.0,5,3,4,1,Regular,8.3,0,0,0
2079,Femenino,Un solo padre,1,Medio,Superior,1,22.5,1,0.7,2.0,3,4,1,1,Conflictiva,4.5,0,0,0
3706,Masculino,Ambos padres,2,Medio-bajo,Superior,0,,1,0.92,2.0,5,3,4,1,Regular,7.2,1,0,0
1954,Masculino,Otros familiares,0,Medio,Superior,1,18.3,1,0.48,4.0,3,5,4,0,Buena,6.3,0,0,0
1701,Masculino,Ambos padres,2,,Secundaria,1,10.4,1,1.18,4.0,3,4,4,0,Buena,7.5,0,1,0
3747,Femenino,Ambos padres,2,Medio-bajo,Superior,0,,1,0.65,4.0,2,5,5,1,Regular,8.4,0,1,0
3928,Masculino,Ambos padres,3,Bajo,Secundaria,1,14.2,1,4.52,3.0,4,2,3,0,Regular,6.8,1,1,0
3590,Femenino,Ambos padres,1,Medio,,0,,0,1.58,4.0,4,3,2,0,Buena,6.1,1,0,0
1854,Masculino,Ambos padres,1,Bajo,Primaria,0,,1,10.14,1.0,4,1,2,0,Regular,7.5,0,0,0
3959,Femenino,Un solo padre,1,Medio,Secundaria,0,,0,1.31,3.0,2,2,4,0,Buena,7.0,0,0,0
2301,Femenino,Ambos padres,0,Medio,Secundaria,0,,0,0.7,3.0,3,3,2,1,Buena,6.1,0,0,1
3908,Femenino,Otros familiares,0,Medio,Secundaria,0,,1,0.1,2.0,2,4,5,0,Buena,6.2,0,0,0
1552,Masculino,Ambos padres,1,Medio,Superior,0,,0,7.2,3.0,1,3,5,0,Buena,8.9,0,1,0
3069,Femenino,Otros familiares,0,Medio,Sin estudios,1,21.1,0,0.83,5.0,1,4,2,0,,6.1,0,1,0
2641,Masculino,Un solo padre,5,Bajo,Superior,0,,1,0.82,4.0,3,4,3,0,Conflictiva,6.9,0,1,0
1826,Masculino,Ambos padres,3,Medio,Primaria,0,,1,3.53,3.0,3,3,1,0,Buena,6.2,0,0,0
1780,Masculino,Un solo padre,2,Medio-bajo,Secundaria,1,20.1,1,0.16,2.0,3,2,4,1,Conflictiva,6.1,0,0,0
3116,Masculino,Ambos padres,3,Bajo,Secundaria,0,,1,0.89,,5,3,4,1,Conflictiva,6.0,0,0,0
1616,Femenino,Ambos padres,2,Medio-bajo,Superior,0,,1,0.93,4.0,2,3,2,1,,6.6,0,0,0
1560,Femenino,Otros familiares,3,Medio-bajo,Secundaria,1,26.3,0,1.17,3.0,3,3,1,0,Buena,6.6,0,0,0
2181,Masculino,Un solo padre,1,Medio-bajo,Secundaria,0,,1,3.2,2.0,2,3,2,1,Conflictiva,5.5,0,1,0
3017,Masculino,Un solo padre,1,Medio-bajo,Primaria,0,,1,0.2,4.0,4,3,3,1,Regular,5.1,0,0,0
2771,Masculino,Ambos padres,3,Medio,Secundaria,1,17.7,0,4.97,3.0,4,3,3,1,Regular,7.3,0,1,0
2843,Femenino,Un solo padre,2,Medio-bajo,Secundaria,0,,1,4.33,4.0,3,4,3,0,Conflictiva,6.4,0,0,0
3385,Femenino,Ambos padres,1,,Primaria,0,,0,2.96,4.0,3,2,2,0,Regular,6.9,0,1,0
1654,Femenino,Ambos padres,3,Medio,Primaria,0,,1,0.22,4.0,4,5,4,0,Buena,7.9,0,1,0
2167,Femenino,Otros familiares,1,Bajo,Secundaria,0,,1,4.93,3.0,4,2,3,0,Conflictiva,4.9,0,0,1
2766,Masculino,Ambos padres,2,Medio-bajo,Secundaria,0,,0,7.85,3.0,4,5,4,0,Regular,6.4,0,1,1
3511,Masculino,Ambos padres,0,Medio,Primaria,1,27.8,0,2.75,3.0,3,3,3,1,Conflictiva,5.9,0,0,0
3963,Masculino,Otros familiares,1,Alto,Secundaria,1,24.3,1,1.2,5.0,1,5,3,1,Buena,6.3,0,1,0
1722,Femenino,Ambos padres,1,Bajo,Secundaria,0,,1,6.88,1.0,4,3,1,0,Regular,7.7,1,0,0
2304,Femenino,Otros familiares,3,Alto,Secundaria,0,,1,1.87,4.0,3,1,4,0,Buena,8.0,0,0,0
1832,Masculino,Ambos padres,3,Medio,Secundaria,0,,0,3.72,3.0,3,2,4,0,Buena,6.5,0,0,0
3220,Femenino,Ambos padres,1,Medio,Secundaria,0,,1,0.46,3.0,3,4,3,1,Buena,7.0,0,0,0
1981,Otro,Un solo padre,3,Medio-bajo,Sin estudios,0,,1,0.96,4.0,3,4,3,1,Conflictiva,8.2,1,1,0
3160,Masculino,Otros familiares,1,Medio,Secundaria,0,,1,6.0,5.0,1,4,4,0,Regular,5.0,0,0,0
2940,Masculino,Tutor,0,Alto,Superior,0,,1,0.48,3.0,2,3,4,0,Buena,7.1,0,0,0
3793,Masculino,Un solo padre,1,Medio,Superior,1,19.6,1,0.74,2.0,3,4,3,1,Conflictiva,6.6,0,0,0
3126,Femenino,Ambos padres,1,Alto,Superior,0,,1,8.22,3.0,3,3,3,0,Regular,7.6,0,1,0
1162,Masculino,Un solo padre,1,Bajo,Secundaria,0,,0,1.25,1.0,3,2,3,1,,5.2,0,1,1
2025,Femenino,Un solo padre,0,Bajo,Superior,1,24.5,1,0.1,4.0,2,2,3,1,Conflictiva,7.0,0,1,0
3583,Masculino,Ambos padres,1,Medio,Sin estudios,0,,1,10.87,4.0,3,4,4,0,Buena,7.3,0,0,0
3671,Masculino,Ambos padres,2,Bajo,Secundaria,1,18.8,1,6.13,2.0,3,3,2,0,Conflictiva,8.4,0,1,1
2759,Masculino,Otros familiares,3,Medio-bajo,Superior,0,,1,0.51,1.0,4,2,2,0,Conflictiva,5.5,0,0,1
2462,Masculino,Ambos padres,1,Medio-bajo,Secundaria,0,,1,4.35,,3,3,3,0,Regular,6.6,0,0,0
2955,Femenino,Un solo padre,3,Medio-bajo,Primaria,0,,0,1.82,3.0,5,2,1,1,Regular,3.6,0,0,0
2552,Femenino,Otros familiares,2,Medio-bajo,Secundaria,0,,1,1.63,2.0,4,3,3,1,Conflictiva,8.1,0,1,0
3720,Femenino,Un solo padre,0,Bajo,Secundaria,1,29.5,1,1.88,2.0,3,3,1,0,Regular,5.7,1,1,0
3031,Masculino,Otros familiares,0,Alto,Superior,0,,0,0.35,4.0,3,4,1,0,Buena,7.2,0,1,0
3589,Masculino,Ambos padres,1,Bajo,Secundaria,0,,0,9.8,4.0,4,4,4,1,Regular,7.5,0,0,1
1811,Masculino,Ambos padres,2,Medio,Primaria,1,23.5,1,0.1,4.0,3,4,4,1,Buena,5.7,1,0,0
1080,Masculino,Ambos padres,2,Medio,Secundaria,0,,1,2.67,3.0,4,3,3,1,Regular,6.5,0,0,0
3937,Masculino,Ambos padres,5,Medio-bajo,Secundaria,0,,1,2.77,3.0,4,3,2,1,,7.0,0,1,0
2688,Masculino,Tutor,5,Medio-bajo,Secundaria,0,,1,0.1,4.0,2,3,2,1,Buena,6.3,1,0,1
3944,Femenino,Un solo padre,1,Alto,Primaria,0,,1,0.74,5.0,2,5,4,0,Buena,5.6,0,0,0
1159,Masculino,Un solo padre,1,Medio,Secundaria,0,,1,5.1,4.0,3,4,4,0,Regular,4.9,0,1,0
3551,Femenino,Ambos padres,2,Bajo,Primaria,0,,1,1.04,4.0,5,3,4,0,Conflictiva,5.5,0,0,0
1290,Femenino,Otros familiares,4,Alto,Primaria,0,,1,2.0,5.0,2,4,3,1,Buena,9.8,0,0,0
1300,Femenino,Ambos padres,1,Medio-bajo,Secundaria,1,24.0,1,1.07,3.0,3,4,4,0,Regular,4.3,0,0,0
2319,Masculino,Un solo padre,3,Medio,Secundaria,0,,0,1.32,3.0,3,3,3,0,Buena,6.7,0,1,1
2701,Masculino,Ambos padres,2,Medio-bajo,Secundaria,0,,0,1.57,1.0,3,4,2,1,Regular,5.0,0,0,0
3749,Femenino,Ambos padres,3,Bajo,Superior,0,,0,7.47,3.0,3,1,2,1,Conflictiva,7.3,0,0,0
1784,Femenino,Tutor,0,Bajo,,0,,1,3.12,4.0,3,3,1,0,Regular,6.9,0,0,0
2219,Femenino,Un solo padre,2,Medio-bajo,Primaria,0,,1,4.21,3.0,5,3,4,0,Conflictiva,6.2,0,1,1
1163,Femenino,Otros familiares,4,Alto,Superior,0,,1,5.43,3.0,2,5,3,0,Regular,7.9,0,0,0
1306,Femenino,Ambos padres,0,Bajo,Sin estudios,0,,0,7.01,,4,2,3,1,Regular,6.0,0,0,0
1638,Masculino,Ambos padres,1,Bajo,Primaria,0,,0,7.34,2.0,4,1,2,1,Conflictiva,5.4,0,1,0
1341,Masculino,Un solo padre,0,Medio,Secundaria,0,,0,3.09,3.0,4,3,4,1,Buena,6.3,0,0,0
2191,Femenino,Un solo padre,1,Bajo,Secundaria,0,,1,4.59,4.0,3,2,2,1,Regular,5.9,0,1,1
2200,Femenino,Ambos padres,1,Bajo,Superior,0,,0,4.44,1.0,3,3,1,0,Conflictiva,5.8,0,0,0
2236,Femenino,Otros familiares,3,Alto,Primaria,0,,1,1.71,4.0,1,3,3,1,Regular,5.5,0,1,1
2817,Masculino,Tutor,1,,Primaria,0,,1,1.43,3.0,1,3,3,0,Regular,6.5,0,1,1
2440,Masculino,Otros familiares,1,Bajo,Secundaria,0,,0,0.53,3.0,3,3,3,0,,7.6,0,0,1
1070,Femenino,Ambos padres,2,Medio-bajo,Superior,0,,1,0.21,1.0,5,1,4,0,Regular,5.6,0,0,1
1890,Femenino,Ambos padres,3,Medio-bajo,Secundaria,1,21.7,1,3.01,4.0,2,3,2,0,Regular,5.7,0,0,0
2961,Masculino,Ambos padres,1,Medio,Primaria,0,,1,2.41,4.0,3,3,5,1,Regular,5.5,0,0,0
1795,Femenino,Un solo padre,2,Medio,Superior,0,,0,6.47,3.0,3,4,4,1,Regular,4.7,0,0,0
3725,Masculino,Un solo padre,1,Medio,Secundaria,0,,1,2.23,4.0,3,5,4,0,Buena,7.5,0,0,0
3962,Masculino,Un solo padre,1,Bajo,Secundaria,0,,1,5.8,2.0,5,3,3,0,Conflictiva,4.1,1,0,0
2425,Masculino,Ambos padres,3,Medio,Superior,0,,1,0.31,3.0,1,1,2,1,Buena,7.9,1,0,0
1892,Masculino,Tutor,0,Bajo,Sin estudios,1,25.2,1,3.14,3.0,3,3,4,1,Regular,7.6,0,0,1
3790,Masculino,Ambos padres,1,Alto,,0,,1,0.53,4.0,3,3,3,0,Regular,9.2,0,1,0
1652,Masculino,Un solo padre,3,Bajo,Secundaria,1,27.0,0,2.04,2.0,4,1,2,0,Conflictiva,5.0,1,0,0
2980,Masculino,Tutor,2,Alto,Secundaria,0,,0,2.59,4.0,2,3,3,0,Buena,9.3,0,1,0
1831,Masculino,Un solo padre,3,Bajo,Primaria,0,,1,0.29,3.0,3,2,5,1,Conflictiva,5.1,1,1,0
3268,Masculino,Ambos padres,1,Medio,Superior,0,,0,1.2,3.0,3,2,2,1,Buena,6.4,0,1,0
1205,Femenino,Ambos padres,2,Medio-bajo,Superior,0,,1,2.55,4.0,2,3,4,0,Regular,7.3,0,0,0
1097,Femenino,Ambos padres,2,Alto,Sin estudios,0,,1,6.43,3.0,3,5,3,1,Buena,5.7,0,0,0
2452,Masculino,Un solo padre,2,Bajo,Secundaria,1,20.9,0,1.04,4.0,4,3,3,0,Conflictiva,8.6,0,0,0
3441,Masculino,Un solo padre,5,Bajo,Superior,1,15.3,1,0.2,4.0,4,2,4,0,Regular,6.4,0,1,0
1291,Masculino,Un solo padre,0,,Sin estudios,0,,1,5.33,4.0,4,2,3,0,Buena,4.5,0,0,1
2648,Masculino,Ambos padres,1,,Secundaria,0,,1,0.14,3.0,3,2,2,0,Conflictiva,6.8,0,0,0
3663,Femenino,Ambos padres,3,Medio,Secundaria,0,,1,9.9,3.0,3,3,3,0,Regular,5.2,0,0,0
1665,Femenino,Otros familiares,1,Medio,Superior,0,,0,0.1,5.0,2,4,4,0,Buena,6.1,0,0,0
