id_estudiante,edad,grado,promedio_matematica,promedio_comunicacion,promedio_ciencias,promedio_general,num_cursos_desaprobados,porcentaje_asistencia,num_tardanzas,num_inasistencias_injustificadas,tendencia_notas,participacion_clase,entrega_tareas,repitio_grado,horas_estudio_semanal,target
3509,14.0,3,12.89,14.95,15.73,15.32,1,85.9,1,2,Mejorando,Baja,100.0,0,4.1,Necesita_reforzamiento
2393,16.0,5,18.4,19.66,17.72,18.77,0,90.1,4,0,Mejorando,Alta,,0,13.1,Continua_estudiando
3240,16.0,5,14.23,7.82,14.68,13.43,0,70.0,7,5,Estable,Baja,75.1,0,6.6,Necesita_reforzamiento
1240,15.0,3,14.89,15.23,9.84,13.0,4,71.3,6,5,Mejorando,Alta,87.9,0,11.8,Continua_estudiando
3767,14.0,2,11.12,15.58,16.12,14.8,0,80.7,1,4,Mejorando,Media,90.8,0,9.8,Necesita_reforzamiento
2762,14.0,2,15.44,15.24,15.71,15.13,1,84.4,4,1,Mejorando,Media,88.7,0,7.4,Continua_estudiando
1738,14.0,2,14.99,16.72,17.81,16.87,0,77.3,2,2,Mejorando,Alta,68.0,0,3.8,Continua_estudiando
2306,16.0,4,7.79,8.67,10.17,8.84,0,66.8,7,3,Empeorando,Baja,32.5,1,9.2,Suspendido
3749,14.0,3,9.05,9.49,7.72,8.61,4,56.2,5,7,Estable,Baja,33.7,0,3.1,Necesita_reforzamiento
2116,15.0,3,18.98,15.06,16.49,17.3,0,88.0,2,2,Estable,Alta,81.1,0,12.3,Continua_estudiando
3694,13.0,2,5.55,3.06,1.89,2.88,2,51.5,12,13,Empeorando,Baja,,1,1.3,Suspendido
1785,16.0,4,11.04,6.87,4.82,7.51,6,77.1,4,8,Empeorando,Baja,45.9,0,5.8,Suspendido
1743,14.0,3,9.92,3.42,4.83,5.66,2,56.6,21,6,Empeorando,Baja,59.6,0,9.7,Suspendido
1617,15.0,4,10.27,12.33,15.27,12.92,5,63.8,7,8,Mejorando,Baja,62.6,1,10.7,Necesita_reforzamiento
1777,12.0,1,10.48,13.77,8.59,10.69,1,90.2,8,9,Estable,Media,72.6,0,9.1,Necesita_reforzamiento
1673,15.0,3,12.23,7.61,3.1,7.78,3,51.2,11,10,Empeorando,Baja,40.4,0,6.9,Suspendido
2863,13.0,1,6.58,12.08,10.06,10.01,3,55.1,3,8,Estable,Baja,65.5,0,6.5,Suspendido
3797,13.0,2,12.82,12.71,17.23,13.72,1,80.6,6,2,Mejorando,Baja,74.8,0,7.6,Necesita_reforzamiento
1868,15.0,3,12.08,7.67,9.69,10.56,1,75.1,2,4,Estable,Alta,,0,8.3,Necesita_reforzamiento
3621,15.0,3,6.17,10.98,,9.18,5,73.9,10,11,Estable,Media,47.2,0,3.7,Suspendido
2582,14.0,3,13.63,16.52,17.09,16.11,2,89.3,1,0,Mejorando,Media,91.9,0,11.5,Continua_estudiando
3356,16.0,4,12.79,11.92,12.86,12.02,6,88.8,6,6,Estable,Baja,44.0,0,4.8,Necesita_reforzamiento
1556,14.0,3,14.62,16.53,12.96,14.4,0,100.0,2,2,Estable,Alta,93.6,0,7.7,Continua_estudiando
2397,13.0,1,14.45,13.22,12.59,13.35,3,89.0,2,2,Estable,Media,93.4,0,7.9,Necesita_reforzamiento
2658,15.0,3,3.61,10.27,5.61,6.61,1,64.6,9,8,Empeorando,Baja,29.9,0,7.2,Suspendido
3631,13.0,2,17.83,16.91,19.23,18.06,0,95.6,1,1,Estable,Media,93.4,0,,Continua_estudiando
1329,17.0,5,8.71,18.97,13.94,13.69,1,92.5,5,6,Mejorando,Media,88.7,0,6.0,Necesita_reforzamiento
3373,17.0,5,7.8,12.62,10.89,9.94,2,71.9,1,1,Empeorando,Baja,81.8,0,12.2,Continua_estudiando
3603,16.0,5,10.73,13.91,17.84,13.99,0,94.2,7,1,Mejorando,Media,63.9,0,3.3,Necesita_reforzamiento
1381,13.0,1,10.57,10.09,12.56,11.2,1,76.2,7,4,Empeorando,Baja,62.8,0,8.4,Necesita_reforzamiento
2343,13.0,1,11.74,8.03,14.22,11.63,0,77.0,4,6,Estable,Alta,74.8,0,6.5,Necesita_reforzamiento
2709,15.0,4,5.2,7.74,11.24,7.88,3,54.8,3,8,Estable,Baja,58.8,1,7.9,Suspendido
2382,17.0,5,15.45,14.49,12.62,13.95,1,83.9,2,1,Estable,Alta,75.1,0,14.8,Continua_estudiando
